"filename", "language", "JSON", "C#", "comment", "blank", "total"
"d:\MakeGames\GameProject\ori\mod_source\blocks\gravel_pile.json", "JSON", 10, 0, 0, 0, 10
"d:\MakeGames\GameProject\ori\mod_source\blocks\ladder.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\leaf.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\log.json", "JSON", 20, 0, 0, 0, 20
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\seed.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\tree_log.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\leaf.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\log.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\seed.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\tree_log.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\leaf.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\log.json", "JSON", 21, 0, 0, 0, 21
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\seed.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\tree_log.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\leaf.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\log.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\seed.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\tree_log.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\door.json", "JSON", 34, 0, 0, 0, 34
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\leaf.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\log.json", "JSON", 20, 0, 0, 0, 20
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\seed.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\tree_log.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\leaf.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\log.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\seed.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\tree_log.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\leaf.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\log.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\seed.json", "JSON", 24, 0, 0, 0, 24
